"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"DT_POSSE";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"QT_VAGAS"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"AC";"AC";"ACRE";"3";"Governador";"1"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"AC";"AC";"ACRE";"4";"Vice-governador";"1"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"AC";"AC";"ACRE";"5";"Senador";"2"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"AC";"AC";"ACRE";"6";"Deputado Federal";"8"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"AC";"AC";"ACRE";"7";"Deputado Estadual";"24"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"AC";"AC";"ACRE";"9";"1. Suplente";"1"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"AC";"AC";"ACRE";"10";"2. Suplente";"1"
