"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"DT_POSSE";"SG_UF";"SG_UE";"NM_UE";"CD_CARGO";"DS_CARGO";"QT_VAGAS"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"CE";"CE";"CEARÁ";"3";"Governador";"1"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"CE";"CE";"CEARÁ";"4";"Vice-governador";"1"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"CE";"CE";"CEARÁ";"5";"Senador";"2"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"CE";"CE";"CEARÁ";"6";"Deputado Federal";"22"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"CE";"CE";"CEARÁ";"7";"Deputado Estadual";"46"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"CE";"CE";"CEARÁ";"9";"1. Suplente";"1"
"30/01/2022";"10:01:53";"2018";"2";"Eleição Ordinária";"297";"Eleições Gerais Estaduais 2018";"07/10/2018";"01/01/2019";"CE";"CE";"CEARÁ";"10";"2. Suplente";"1"
